role,age,gender,school_location,district,frequency_of_technology_use,perception_of_tech_support,benefits_of_technology,challenges_and_limitations,personalized_feedback_enhancement,student_resistance_to_technology,change_in_learning_and_engagement,motivation_to_learn,impact_on_social_skills_and_relationships,adequacy_for_students_with_disabilities,observed_changes_in_learning,support_for_essential_skills_development,promotion_of_independence_and_self_learning,increase_in_academic_performance,improvement_in_engagement_and_learning,challenges_in_digital_literacy,additional_technology_or_resources_needed,future_directions_and_possibilities,perceived_enhancement_of_learning,negative_effects_of_screen_time,positive_changes_in_collaboration_and_teamwork,decrease_in_traditional_teaching_methods,need_for_additional_teacher_training,perception_of_tech_support_semtiment,challenges_and_limitations_semtiment,change_in_learning_and_engagement_semtiment,impact_on_social_skills_and_relationships_semtiment,support_for_essential_skills_development_semtiment
Student,21,Female,Rural ,Nagar ,several times a week,"Technology fulfills all the leaning objectives of the students 

",Motivation for learning ,"WiFi, electricity, internet access and building 
",Yes,No,"With technology teachers can use multiple methods of teaching 
",Yes,"With usage of technology I have             
made lots of friends and relationships
",Yes,Yes,"The students can easily use the educating softwares for the nurishment of their skills 
",Yes,Yes,Yes,No,"WiFi, electricity and internet access 
","Teachers will have less opportunity for jobs in schools i guess 
",very,Yes,Yes,Yes,Yes,Positive,Positive,Positive,Positive,Negative
Student,17,Female,Nagar Khas,Nagar,several times a week,technology support the learning objectives in primary education that can help student to develop digital literacy skills,it can enhaces engagement make learning more effective,overall waste of time,Yes,Yes,"technology change the curriculum and content, no need of teacher ",No,build the communication and thinking skills,Yes,Yes,,Yes,Yes,Yes,No,,computer lab and other technology is important for students,not at all,Yes,No,Yes,No,Positive,Negative,Positive,Positive,Positive
Student,17,Female,Jafarabad,Nagar,weekly,with the help of technology primary level of students can easily solve their problem and understand easily,usings books in primary education,"light issues, and internet",Yes,Yes,fast learning and no wastage of time,No,we can easily communicate with our relatives and friends,Yes,Yes,by enhancing much interest,Yes,Yes,Yes,Yes,LEDs and AI genertated tools,application of classes to advanced language,slightly,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,30,Female,Aliabad,Hunza,weekly,,,,Yes,No,Technology play a vital role in our life we learn so many thing from all over the world.,Yes,"Online business, online games and connect with our family and friends by using mobile phones.",Yes,Yes,,Yes,Yes,Yes,Yes,,,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Student,20,Female,Rural ,Nagar ,daily,"Technology benefits students in relevant content 
","Students learn easily 
and fast 
 ","Electricity and internet issues 
",No,No,"Students learn fast as practical usage 
",No,"Negative impacts social life 
",No,Yes,"Technology enhances students creativity and articulation 
",No,No,Yes,No,"LED, projector, tablets and WiFi ","Technology should not that much advance 
",extremely,Yes,Yes,No,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,31,Male,Nagar Khas,Nagar,several times a week,it enhance the listening skill and thinking,it enhance memorization,"internet access , inflation, and maintainance",Yes,No,,Yes,enhance learning capacity,Yes,Yes,"through stories, sktches, and pictorials",Yes,Yes,Yes,Yes,offline vedios,technology shall replace teachers in future,very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Negative
Teacher,20,Female,Nagar Khas,Nagar,weekly,technology  can give explanation and enhance access of knowledge,,,Yes,No,,Yes,technology changed our social skill in verbal form neither that to practice practically,Yes,Yes,we use technology in positive ways,Yes,No,Yes,No,"projector, excel,are used",technology should used in primary education,slightly,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,40,Female,Karimabad,Hunza,weekly,Technology can best support the learning objective in different angle. Teacher and students can learn the objective by different method.,Use different method for learning and teaching.,Student become used to visual activities.,Yes,No,We learn alot through technology and we do partical work.,Yes,Developed our speaking and reading skills.,Yes,No,Only lecture and lab is not enough area for learning using technology provide attraction toward learning,No,Yes,Yes,Yes,LMS system in classroom would benefit the classroom.,Attractive teaching and learning environment through technology.,moderately,Yes,Yes,Yes,Yes,Neutral,Positive,Positive,Positive,Negative
Student,21,Female,Rural ,Nagar ,several times a week,"Technology fulfills all the leaning objectives of the students 

",Motivation for learning ,"WiFi, electricity, internet access and building 
",Yes,No,"With technology teachers can use multiple methods of teaching 
",Yes,"With usage of technology I have             
made lots of friends and relationships
",Yes,Yes,"The students can easily use the educating softwares for the nurishment of their skills 
",Yes,Yes,Yes,No,"WiFi, electricity and internet access 
","Teachers will have less opportunity for jobs in schools i guess 
",very,Yes,Yes,Yes,Yes,Positive,Positive,Positive,Positive,Negative
Teacher,33,Male,Ghulmet nagar,Nagar,daily,a properly rained teacher can help support and guide them to gradually adopt technology,educational technology enhance the learning experience providing greater accesibility,"technical issues, software glitches, and connectivity problem",Yes,Yes,,Yes,,Yes,Yes,digital tools can also foster critical thinking and problem solving skill,No,No,Yes,No,offline vedios,technology shall replace teachers in future,extremely,Yes,No,No,Yes,Positive,Negative,Positive,Positive,Positive
